Campaign Name,Ad Set Name,Ad Name,Primary Text,Headline,Description,Call To Action,Link URL,Media File Name
"SOE - Acquisition (Wave 5)","AdSet - Worried Parents Seeking Balance","Ad 01 - Feel-Felt-Found","You felt like you were the only parent worried about what school dropped from the day.

Other parents felt the same. The arts are gone. Music got labeled non-essential. Movement got cut. And you are left wondering how to fill the gap at home.

Then they found The Sound of Essentials: Rhythm Quest, a music-driven learning universe built for ages 2 to 7. Across 7 Lands, 15 hero mentors guide children through 19 original songs that teach vocabulary, counting, science, movement, and emotional regulation.

It offers children a calm sanctuary where music brings foundational learning to life, crafted with care by parents who lived the same struggle.

🎵 Listen free below. No credit card, no spam.","A Musical Sanctuary for Young Minds","Free songs + coloring pages",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta4&utm_content=ad01_feel_felt_found,ad01_feel_felt_found.jpg
"SOE - Acquisition (Wave 2)","AdSet - Educators & STEM Parents","Ad 02 - Myth Deflection","Myth: Arts education is a nice-to-have, something you squeeze in after core subjects.

Truth: Developmental neuroscience shows that music, movement, and acoustic rhythm form the bedrock of cognitive development rather than decorative extras.

Children who learn through music build stronger memory, sharper executive function, and faster language acquisition. The developing brain learns through pattern and sound.

The Sound of Essentials builds on Dalcroze, Orff, and Kodály methods for ages 2 to 7 across 5 developmental domains. It turns melody into an active curriculum.

🧠 Stream free and explore the research below.","Backed by Science. Loved by Kids.","Research-backed curriculum.",LEARN_MORE,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta2&utm_content=ad02_myth_deflection,ad02_myth_deflection.jpg
"SOE - Acquisition (Wave 1)","AdSet - Screen-Concerned & Homeschool Parents","Ad 03 - Before/After/Bridge","Before: Three hours on a tablet. Glazed eyes. Another autoplay loop.

After: A child journeying through 7 lands, learning language with Kenji and Aiko in Harmonia, counting with Kwame and Octavia in Numeria, dancing with Felix and Amara in Vitalis, and exploring science with Silas and Vesta in Terrasol.

The turnaround starts with a simple choice: replacing passive video consumption with active acoustic songs.

The Sound of Essentials: Rhythm Quest includes 19 original songs and 15 character guides led by Seriphia. Designed for the developing brain, not an algorithm.

Ages 2 to 7. Free 19-track album streaming today.

🎵 Start listening now with the link below.","Screen Time You Won't Feel Bad About","Zero guilt. 100% free.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta1&utm_content=ad03_before_after,ad03_before_after_bridge.jpg
"SOE - Acquisition (Wave 2)","AdSet - Alternative Education Advocates","Ad 04 - Contrarian","Standard advice tells parents to buy more STEM worksheets. We hand kids drumsticks.

We focus on stories, acoustic melodies, rhythm, and whole-body movement.

Neuroscience backs this up: musical timing trains the precise neural pathways STEM relies on, including pattern recognition, sequential logic, spatial reasoning, and working memory.

Foundations come before the framework. Rhythm builds that foundation.

The Sound of Essentials uses 19 songs to teach math, language, science, and motor skills for ages 2 to 7 as core learning.

🎵 Free for every family. Tap below to start listening.","More Than Music. It's a Curriculum.","5 developmental domains.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta2&utm_content=ad04_contrarian,ad04_contrarian_drums.jpg
"SOE - Acquisition (Wave 4)","AdSet - Active Parents Seeking Engagement","Ad 05 - Challenge Mechanism","Play one song for your child tonight. Just one. Then see if they ask for another.

Try any track: ""Do You Know What Time It Is?"" for time concepts in Celestia, ""My Body"" for anatomy in Vitalis, or ""Le Cheval"" for French language immersion in Harmonia. Notice how quickly they engage when music teaches through cadence rather than background noise.

Children request the Rhythm Quest tracks on repeat, sing the lyrics back, and ask to visit Numeria at bedtime.

🎵 One song is all it takes. Free streaming for ages 2 to 7 below.","Listen Free: 19 Educational Songs","Instant access. No spam.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta5&utm_content=ad05_challenge,ad05_challenge_clapping.jpg
"SOE - Acquisition (Wave 3)","AdSet - Skeptical Conscious Parents","Ad 06 - Reverse Testimonial","I expected another generic children's album with repetitive tunes and forgettable lyrics.

Then my four-year-old started skip-counting with Octavia and Kwame in Numeria.

Soon after, she described animal habitats she learned from Silas and Vesta in Terrasol, followed by the French lyrics to Le Cheval from Harmonia.

The Sound of Essentials spans 7 Lands, 15 hero characters, and 19 original songs built on early childhood neuroscience for ages 2 to 7. A father built this from scratch because existing children's media fell short.

It proved me wrong in the best way.

🎵 Hear what made the difference below.","Finally: Kids Music You'll Enjoy Too","Parents love it too.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta3&utm_content=ad06_reverse_testimonial,ad06_holographic_universe.jpg
"SOE - Acquisition (Wave 3)","AdSet - Preschool & Kindergarten Families","Ad 07 - Future Pacing","Picture your morning routine six weeks from today.

No battles over tablets. No searching for educational videos.

Instead, your child hums a skip-counting tune while putting on shoes. They recognize the 7 Lands and follow Seriphia, Kenji, Aiko, Kwame, and Amara. They ask for the music in the car, absorbing phonics, rhythm, and spatial reasoning naturally along the way.

That is the Rhythm Quest: 19 songs across 7 Lands, streaming free for ages 2 to 7.

🎵 Begin the journey this morning with the link below.","Your Child's New Favorite Songs","Free songs + coloring pages",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta5&utm_content=ad07_future_pacing,ad07_morning_routine.jpg
"SOE - Acquisition (Wave 2)","AdSet - Anti-Screen & Mindful Parents","Ad 08 - Status Quo Disruption","Mainstream children's entertainment relies on rapid cuts, loud flashing colors, and autoplay hooks that trigger dopamine spikes without lasting meaning, leaving young children restless.

The Sound of Essentials takes the opposite approach.

Nineteen original songs feature acoustic instrumentation, calm pacing, and lyrics mapped to early childhood milestones for ages 2 to 7.

No ads, no algorithms, and no screen fatigue, just brain-building melody.

🎵 Stream the entire album free below.","19 Songs. 7 Worlds. 100% Free.","No ads. No algorithm.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta1&utm_content=ad08_status_quo,ad08_anti_cocomelon_detox.jpg
"SOE - Acquisition (Wave 1)","AdSet - Disillusioned School Parents","Ad 09 - PAS","With over 44 million teachers missing worldwide and early childhood arts programs reduced, parents carry the weight of early enrichment.

The window between ages 2 and 7 represents a unique developmental period for forming neural pathways in language, rhythm, and spatial reasoning.

The Sound of Essentials brings that foundation home. Nineteen tracks across 7 Lands transform everyday playtime into an acoustic space for phonics, math, and coordination.

🎵 Free to stream today. Tap below to begin.","5 Learning Domains. 19 Songs. Free.","Neuroscience meets music.",LEARN_MORE,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta4&utm_content=ad09_pas,ad09_pas_classroom_to_sanctuary.jpg
"SOE - Acquisition (Wave 1)","AdSet - Broad Early Childhood Market","Ad 10 - AIDA","Nineteen songs, 15 hero guides, 7 Lands, and free streaming access.

Built on Dalcroze, Orff, and Kodály music education methods, each track in The Sound of Essentials teaches foundational early skills in phonics, numbers, nature, movement, and emotional literacy for ages 2 to 7.

Picture your four-year-old singing about skip-counting and anatomy with pure excitement, completely screen-free.

Tap below to stream all 19 tracks immediately, with free printable coloring sheets included.","15 Characters. 7 Lands. 1 Quest.","Start the adventure today.",LISTEN_NOW,https://thesoundofessentials.com/listen?utm_source=meta&utm_medium=paid_social&utm_campaign=cold_delta5&utm_content=ad10_aida,ad10_aida_heroes_quest.jpg
